subject_id,algorithm,representation,constraint_handler,config_id,pop_size,max_generations,mutation_rate,seed,runtime_s,f1_best,f2_best,hypervolume,igd,spacing,delta_spread,front_size,max_archive_size,inertia,leader_method,c1,c2,alpha,initial_pheromone,evaporation_rate
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m005,40,40,0.05,1000,0.27603074999933597,2841.57,241.66761093311598,1781417.1012100633,573.7276778390449,251.44871723363357,0.8141840626547658,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m005,40,40,0.05,1001,0.2608361250022426,2764.9500000000003,152.00965444908203,1061382.4445404347,508.7341496533213,188.65795098283184,0.816040302668697,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m005,40,40,0.05,1002,0.2606991670036223,2417.9500000000003,302.15589988043223,1898875.2837780917,450.0814951996645,247.85381951936,0.8608920745206599,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m005,40,40,0.05,1003,0.2720682079961989,2128.3300000000004,233.63409291547046,1244233.3617012498,387.7215986943178,199.6094315122999,0.9192410088024096,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m005,40,40,0.05,1004,0.27565233399218414,2130.3300000000004,198.08962113273742,1102485.8981782084,314.0709815908763,203.1486324508868,0.8031840541167249,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m01,40,40,0.1,1000,0.2570667920081178,2555.9500000000003,196.1866389099402,701134.8800123808,501.2528525474062,115.65483641904319,0.8075478382541146,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m01,40,40,0.1,1001,0.2589538340107538,2455.9500000000003,242.58778906827172,1248828.1737607254,438.3989383494266,163.30380939197033,0.820133557878615,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m01,40,40,0.1,1002,0.2588236669980688,2808.3300000000004,186.08232010775194,833439.7065373309,551.247821755169,189.02117360133096,0.8644313820231094,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m01,40,40,0.1,1003,0.25109170901123434,2503.9500000000003,157.34605374633043,539646.781189119,552.1820460996762,129.01171502454002,0.9098498211075208,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m01,40,40,0.1,1004,0.2643729169940343,1625.5700000000002,158.20907577972315,894227.0969061699,182.22978448608768,252.8198836944896,0.7257088868624292,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m02,40,40,0.2,1000,0.2534152080042986,3437.3300000000004,173.99293922399264,625749.2030190707,890.7179159433427,198.11168538720247,0.9103246642354198,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m02,40,40,0.2,1001,0.2583795829996234,3093.3300000000004,156.74503712686374,1152695.488843136,634.7305885479052,242.55082339208104,0.9123659051357973,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m02,40,40,0.2,1002,0.2630211670038989,2670.9500000000003,177.37562122896603,840329.0888388909,495.73410295191644,170.9724832960722,0.7854311973645324,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m02,40,40,0.2,1003,0.25880250000045635,3552.3300000000004,163.6105253404829,1112168.4704767952,914.9286116905373,243.45923706963205,0.82890634760088,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g40_m02,40,40,0.2,1004,0.25730908299738076,2836.3300000000004,291.8890257935239,1305221.1161710077,632.1787302571024,146.2543693391649,0.8612228319981214,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m005,40,80,0.05,1000,0.5349148340028478,1104.19,239.60022862931123,1988630.4216641842,140.88827611663626,235.63732342910993,0.7501949270974643,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m005,40,80,0.05,1001,0.5229939590062713,934.81,200.4424119664854,1456314.0332736557,134.16933411770574,250.82425182003647,0.7845608087300319,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m005,40,80,0.05,1002,0.5323339580063475,885.9500000000003,238.16979148513525,1705429.039060431,194.65358961544337,281.61910348381724,0.824333669022328,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m005,40,80,0.05,1003,0.5421595000079833,959.9500000000003,251.11318519383533,1689287.9897538093,165.9695969144874,226.65080523049642,0.8317357369306195,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m005,40,80,0.05,1004,0.5374988330004271,1104.9500000000003,141.53047712812082,638821.0678783277,195.81336724903392,170.40389075679917,0.760076104977891,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m01,40,80,0.1,1000,0.5145232909999322,1689.5700000000002,201.0550681815318,820327.1764685998,332.6490589314423,150.22553742721283,0.8810986131338632,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m01,40,80,0.1,1001,0.5146813750034198,1649.3300000000004,123.86276180667588,1059190.4559921087,197.76890665128064,245.32175969053048,0.7995192707580084,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m01,40,80,0.1,1002,0.5084650420030812,1361.9500000000003,216.85251425880412,1287614.2340143512,236.7027118513088,250.67121275102514,0.8597568292611797,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m01,40,80,0.1,1003,0.5257781249965774,1187.5700000000002,195.70913470404486,1199579.2683616693,202.5241260615045,206.3157195480147,0.8390197232189113,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m01,40,80,0.1,1004,0.5308870000008028,690.19,185.74822590379824,936069.7075517905,194.21258554131293,187.9214385794544,0.7642825077836547,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m02,40,80,0.2,1000,0.5217960000009043,1867.5700000000002,167.28688652601346,590454.3005810182,345.2570752489904,157.80396655667792,0.8716431490659177,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m02,40,80,0.2,1001,0.5242771670018556,2255.3300000000004,163.16134858716327,1068920.7688020172,349.58869687711655,214.28282985169588,0.7916023865931349,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m02,40,80,0.2,1002,0.5219459159998223,1856.9500000000003,241.36927116631063,1328671.477254862,264.8322390861655,164.3214166168379,0.756473132379926,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m02,40,80,0.2,1003,0.5143567920022178,2435.3300000000004,232.786496985378,1578271.5120968905,395.8699926181277,225.97495847378858,0.8985290267725492,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p40_g80_m02,40,80,0.2,1004,0.5090671249927254,1700.3300000000004,267.01507902270504,1370125.9682533366,282.5352626092968,159.92363361658488,0.7608529400761613,40,,,,,,,,
1,NSGA-II,direct_index,repair,nsgaii_p80_g40_m005,80,40,0.05,1000,0.7512735829950543,2535.9500000000003,154.05424158210715,918197.9338034916,426.8601845180449,127.86063519430049,0.8655039563764337,80,,,,,,,,
