subject_id,config_id,algorithm,representation,constraint_handler,seed,runtime_s,f1_best,f2_best,front_size,hypervolume,igd,spacing,delta_spread
1,nsga2_di_repair,NSGA-II,direct_index,repair,100,1.408573124994291,2100.3300000000004,191.91483201432956,80,1280905.6172863338,233.7794754656352,96.77490642672636,0.8933541732698461
1,nsga2_di_repair,NSGA-II,direct_index,repair,101,1.4367827079986455,2229.3300000000004,185.89063936398202,80,1285172.018377143,244.21807952969013,99.44497254282484,0.7736960850207667
1,nsga2_di_repair,NSGA-II,direct_index,repair,102,1.3852925000101095,1965.5700000000002,177.5136518584197,80,1535118.4500901261,174.16528069534473,129.39745464294907,0.9272724919900102
1,nsga2_di_repair,NSGA-II,direct_index,repair,103,1.400826583005255,2050.57,212.83398527466264,80,2069240.1668781054,189.07388330430763,135.98293934229395,0.7986578866967221
1,nsga2_di_repair,NSGA-II,direct_index,repair,104,1.4124110000120709,1960.3300000000004,170.99006075880757,80,786266.3494219054,242.22698267143224,73.13893739633592,0.7951173701736827
1,nsga2_di_repair,NSGA-II,direct_index,repair,105,1.4093904999899678,1916.9500000000003,225.39180597136422,80,1688844.4997541218,198.86749326899604,180.78090119963602,0.8296364862490919
1,nsga2_di_repair,NSGA-II,direct_index,repair,106,1.4004615000012564,2357.9500000000003,164.4306694570691,80,1010621.709351117,268.74553955684337,99.69906669983577,0.8624425507386472
1,nsga2_di_repair,NSGA-II,direct_index,repair,107,1.4085745830088854,2146.3300000000004,164.94083536411168,80,1221024.5575410405,209.08619091586004,95.23342396311189,0.8247583199620094
1,nsga2_di_repair,NSGA-II,direct_index,repair,108,1.3952494169934653,2190.9500000000003,171.86868270707316,80,1051483.119359376,218.7360034009979,110.03881610769187,0.8296307201836993
1,nsga2_di_repair,NSGA-II,direct_index,repair,109,1.4190741250058636,2372.9500000000003,178.08047632202255,80,1139550.4435959994,287.91766862765763,107.78241967668333,0.7963161539006066
1,nsga2_di_repair,NSGA-II,direct_index,repair,110,1.4145317079965025,2219.9500000000003,171.0131419224379,80,1275865.5636778434,233.3859236272241,114.37981997217504,0.8650634424950154
1,nsga2_di_repair,NSGA-II,direct_index,repair,111,1.402878166991286,1889.3300000000004,243.24130404361017,80,1379896.6554386185,181.5680122962837,103.17572187292517,0.8430731048238939
1,nsga2_di_repair,NSGA-II,direct_index,repair,112,1.4176000419975026,1883.5700000000002,239.84653290764496,80,1825991.1122155658,169.02279715556435,104.57046932279327,0.7512866509661899
1,nsga2_di_repair,NSGA-II,direct_index,repair,113,1.3979066250030883,1582.3300000000004,223.37444671825784,80,1718207.969908674,149.53417008692605,161.9550065766816,0.860773851584739
1,nsga2_di_repair,NSGA-II,direct_index,repair,114,1.3935112090111943,2217.9500000000003,164.49677661922524,80,1054808.360594445,227.65630352382203,126.49729062651843,0.850850643766043
1,nsga2_di_repair,NSGA-II,direct_index,repair,115,1.4074714159942232,1417.9500000000003,279.37075145789765,80,1747731.5950679998,124.84846314810828,124.11845827208873,0.7789401465453611
1,nsga2_di_repair,NSGA-II,direct_index,repair,116,1.3936657910089707,1676.9500000000003,242.685058047624,80,1511937.0759125978,171.14675242948883,83.65630414217071,0.7382925097183396
1,nsga2_di_repair,NSGA-II,direct_index,repair,117,1.414709207994747,1916.9500000000003,224.23362186300102,80,1528022.6985435763,187.0276958496635,127.96525178861371,0.8400402791521845
1,nsga2_di_repair,NSGA-II,direct_index,repair,118,1.3922039580065757,1982.9500000000003,204.41368359227397,80,2929120.3034622925,180.1614919191195,127.83438313236896,0.7812161966668196
1,nsga2_di_repair,NSGA-II,direct_index,repair,119,1.375137499999255,2026.3300000000004,183.82231470496998,80,1241134.8472328698,203.660969656561,132.53611296168194,0.9166197840611882
1,nsga2_di_repair,NSGA-II,direct_index,repair,120,1.3939657080045436,2068.57,171.385145658518,80,879742.5829270763,291.91023767717127,58.80288491360801,0.7674378557570164
1,nsga2_di_repair,NSGA-II,direct_index,repair,121,1.3763129999861121,2054.57,237.8804480309326,80,1333223.1863726822,201.61367095224946,121.03122762489483,0.8247615997192631
1,nsga2_di_repair,NSGA-II,direct_index,repair,122,1.3999922499933746,1940.9500000000003,189.53490022940235,80,1288602.1813180838,189.91913814100928,131.14538093686744,0.7871690760117996
