algorithm,config_id,pop_size,max_generations,mutation_rate,inertia,c1,c2,max_archive_size,evaporation_rate,alpha,initial_pheromone,leader_method,hv_mean,hv_std,igd_mean,runtime_mean,n,rank
P-ACO,paco_p60_g80_a80_rho01_a10_t010,60,80,,,,,80.0,0.1,1.0,1.0,,222542.43077858505,106881.19645805558,424.9819199650459,45.01875807080214,10,14
P-ACO,paco_p30_g80_a40_rho01_a10_t010,30,80,,,,,40.0,0.1,1.0,1.0,,192136.0640973664,109908.85086609864,597.6724741978895,22.823832337599015,10,15
P-ACO,paco_p30_g80_a80_rho01_a10_t010,30,80,,,,,80.0,0.1,1.0,1.0,,192136.0640973664,109908.85086609864,597.6724741978895,22.830064524999763,10,16
PAES,paes_p1_g800_m01_a40,1,800,0.1,,,,40.0,,,,,474575.35303111933,300600.69008686626,435.83800474699376,1.930952058301773,10,1
PAES,paes_p1_g800_m01_a80,1,800,0.1,,,,80.0,,,,,474575.35303111933,300600.69008686626,435.83800474699376,2.0539515334981844,10,2
PAES,paes_p1_g400_m01_a40,1,400,0.1,,,,40.0,,,,,370062.1043832257,234021.49170101545,763.6429378301525,1.0052256335009588,10,3
PAES,paes_p1_g400_m01_a80,1,400,0.1,,,,80.0,,,,,370062.1043832257,234021.49170101545,763.6429378301525,1.054670595897187,10,4
PAES,paes_p1_g800_m02_a40,1,800,0.2,,,,40.0,,,,,336354.6644193219,282571.2295041614,799.7318462877892,1.8634371540014398,10,5
PAES,paes_p1_g800_m02_a80,1,800,0.2,,,,80.0,,,,,336354.6644193219,282571.2295041614,799.7318462877892,2.051983383303741,10,6
PAES,paes_p1_g400_m005_a40,1,400,0.05,,,,40.0,,,,,322758.411756179,350952.4130610914,611.9261079368368,1.1047932125016815,10,7
PAES,paes_p1_g400_m005_a80,1,400,0.05,,,,80.0,,,,,322758.411756179,350952.4130610914,611.9261079368368,1.1796704125008546,10,8
PAES,paes_p1_g400_m02_a40,1,400,0.2,,,,40.0,,,,,308172.6303858135,238436.92394969563,1046.056365828967,0.9655314667019411,10,9
PAES,paes_p1_g400_m02_a80,1,400,0.2,,,,80.0,,,,,308172.6303858135,238436.92394969563,1046.056365828967,1.0489952999996603,10,10
PAES,paes_p1_g800_m005_a80,1,800,0.05,,,,80.0,,,,,271453.78348892165,242172.9282849917,426.714148509452,2.2665405958978226,10,11
PAES,paes_p1_g800_m005_a40,1,800,0.05,,,,40.0,,,,,217994.1618143098,138355.65368346486,459.54193061332336,2.0921458166019873,10,12
