metric,higher_is_better,statistic,p_value,rank_mopso_rk,rank_nsga2_di_death,rank_nsga2_di_penalty,rank_nsga2_di_repair,rank_nsga2_rk_repair,rank_paco_di,rank_paes_di_repair
hypervolume,True,585.9222383761228,0.0,819.96,310.22,310.22,310.22,331.0733333333333,791.2933333333333,805.5133333333333
igd,False,643.9926864472827,0.0,839.1066666666667,340.08666666666664,340.08666666666664,340.08666666666664,260.56666666666666,904.5733333333334,653.9933333333333
runtime_s,False,870.7966655719704,0.0,75.5,749.2733333333333,751.7266666666667,231.66,369.34,975.5,525.5
delta_spread,False,359.89774900319446,0.0,657.76,437.93333333333334,437.93333333333334,437.93333333333334,470.37333333333333,315.48,921.0866666666667
spacing,False,578.217267028843,0.0,806.1333333333333,337.2,337.2,337.2,360.5466666666667,905.4333333333333,594.7866666666666
